X,Y,Stop,Descrip,Place,District,CoordXdiv,CoordYdiv,Shelt,Bench,Public,COORDX,COORDY,OBJECTID
-76.025741,36.856859,1432,FIRST COLONIAL & SOUTHHALL, ,08,122067390,34809290,0,0,-1,12206739,3480929,1131
-76.093894,36.795064,1433,LYNNHAVEN & PRIMROSE, ,08,121873793,34579222,0,0,-1,12187379.3,3457922.2,1132
-76.13677,36.83831,1434,INDEPENDENCE & BONNEY, ,08,121744344,34733457,0,0,-1,12174434.4,3473345.7,1133
-76.121551,36.820419,1435,HOLLAND & S. PLAZA,HOLPT,08,121790510,34669457,0,0,-1,12179051,3466945.7,1134
-76.118451,36.818231,1440,HOLLAND & PLAZA, ,08,121799780,34661720,0,0,-1,12179978,3466172,1135
-76.117346,36.817524,1441,HOLLAND & WATERS, ,08,121803080,34659230,0,0,-1,12180308,3465923,1136
-76.104505,36.814993,1442,HOLLAND & CHASEWAY, ,08,121840890,34650970,0,0,-1,12184089,3465097,1137
-76.101254,36.814075,1443,HOLLAND & CHIMNEY HILL,RMHOL,08,121850490,34647870,0,0,-1,12185049,3464787,1138
-76.096599,36.812427,1444,HOLLAND & GARFIELD, ,08,121864264,34642219,0,0,-1,12186426.4,3464221.9,1139
-76.095431,36.811674,1445,HOLLAND & CHANTRY, ,08,121867753,34639563,0,0,-1,12186775.3,3463956.3,1140
-76.09291,36.808939,1446,HOLLAND & NORTHWOOD, ,08,121875383,34629797,0,0,-1,12187538.3,3462979.7,1141
-76.090725,36.806032,1447,HOLLAND & STONESHORE, ,08,121882050,34619380,0,0,-1,12188205,3461938,1142
-76.087171,36.801511,1448,HOLLAND & GREEN RUN, ,08,121892870,34603190,0,0,-1,12189287,3460319,1143
-76.087134,36.801914,1449,HOLLAND & GREEN RUN, ,08,121892942,34604659,0,0,-1,12189294.2,3460465.9,1144
-76.092954,36.809512,1450,HOLLAND & DIANA LEE, ,08,121875201,34631880,0,0,-1,12187520.1,3463188,1145
-76.095002,36.811736,1451,HOLLAND & CHANTRY, ,08,121869003,34639823,0,0,-1,12186900.3,3463982.3,1146
-76.096274,36.812578,1452,HOLLAND & GARFIELD, ,08,121865201,34642792,0,0,-1,12186520.1,3464279.2,1147
-76.101394,36.814298,1453,HOLLAND & CHIMNEY HILL,RMHOL,08,121850060,34648670,0,0,-1,12185006,3464867,1148
-76.108434,36.816208,1454,HOLLAND & GOVERNORS, ,08,121829280,34655100,0,0,-1,12182928,3465510,1149
-76.113021,36.816282,1455,HOLLAND & WINDSOR OAKS, ,08,121815850,34655030,0,0,-1,12181585,3465503,1150
-76.006426,36.774959,1456,GENERAL BOOTH & CULVER, ,08,122131755,34512695,0,0,-1,12213175.5,3451269.5,1151
-76.001232,36.782271,1457,GENERAL BOOTH & HUBBELL, ,08,122146260,34539710,0,0,-1,12214626,3453971,1152
-76.002897,36.779322,1458,GENERAL BOOTH & EDISON,DAMGB,08,122141670,34528850,0,0,-1,12214167,3452885,1153
-76.111282,36.816154,1459,HOLLAND & WINDSOR OAKS, ,08,121820950,34654690,0,0,-1,12182095,3465469,1154
-76.062876,36.815639,1460,INTERNATIONAL & SEAHAWK, ,08,121962652,34656437,0,0,-1,12196265.2,3465643.7,1155
-76.05707,36.811611,1461,INTERNATIONAL & RELIANCE,INTER,08,121980022,34642219,0,0,-1,12198002.2,3464221.9,1156
-75.998213,36.787612,1466,GENERAL BOOTH & DAM NECK,DAMGB,08,122154581,34559384,0,0,-1,12215458.1,3455938.4,1157
-76.063104,36.816037,1470,INTERNATIONAL & SEAHAWK, ,08,121961949,34657869,0,0,-1,12196194.9,3465786.9,1158
-75.990329,36.795103,1480,KOA,KOA,08,122176938,34587259,-1,0,-1,12217693.8,3458725.9,1159
-75.989674,36.810835,1481,GENERAL BOOTH & BIRDNECK,MOTOR,08,122177330,34644570,0,0,-1,12217733,3464457,1160
-75.97361,36.82893,1483,GENERAL BOOTH & RUDEE POINT, ,08,122222578,34711679,0,0,-1,12222257.8,3471167.9,1161
-75.977512,36.853088,1485,PACIFIC & 25TH, ,08,122208814,34799298,0,0,-1,12220881.4,3479929.8,1162
-75.978332,36.856138,1486,PACIFIC & 28TH,PAC28,08,122206118,34810337,0,0,-1,12220611.8,3481033.7,1163
-75.980003,36.86192,1487,PACIFIC & 34TH,PAC34,08,122200670,34831250,0,0,-1,12220067,3483125,1164
-75.980631,36.86427,1488,PACIFIC & 36TH, ,08,122198604,34839752,0,0,-1,12219860.4,3483975.2,1165
-75.973651,36.82923,1489,GENERAL BOOTH & HARBOUR, ,08,122222430,34712770,0,0,-1,12222243,3471277,1166
-75.982877,36.820658,1490,GENERAL BOOTH & VA AQUARIUM,SCMSM,08,122196270,34680850,0,0,-1,12219627,3468085,1167
-75.990442,36.809431,1492,GENERAL BOOTH & BIRDNECK, ,08,122175220,34639400,0,0,-1,12217522,3463940,1168
-75.995517,36.793977,1493,GENERAL BOOTH & OCEANA, ,08,122161860,34582760,0,0,-1,12216186,3458276,1169
-76.182899,36.839945,1500,PRINCESS ANNE & CHEYENNE, ,08,121609245,34736060,0,0,-1,12160924.5,3473606,1170
-76.178633,36.835039,1501,PRINCESS ANNE & HILL PRINCE, ,08,121622164,34718510,0,0,-1,12162216.4,3471851,1171
-76.157814,36.824965,1502,PRINCESS ANNE & KEMPSHIRE, ,08,121683985,34683350,0,0,-1,12168398.5,3468335,1172
-76.151797,36.822639,1503,PRINCESS ANNE & BAXTER,PRNBAX,08,121701800,34675320,0,0,-1,12170180,3467532,1173
-76.144722,36.815002,1504,PRINCESS ANNE & EDWIN, ,08,121723197,34648039,0,0,-1,12172319.7,3464803.9,1174
-76.138177,36.810403,1505,PRINCESS ANNE & TIMBERLAKE, ,08,121742770,34631780,0,0,-1,12174277,3463178,1175
-76.132379,36.802706,1506,PRINCESS ANNE & PLAZA, ,08,121760440,34604190,0,0,-1,12176044,3460419,1176
-76.1685,36.828706,1507,PRINCESS ANNE & PARLIAMENT, ,08,121652380,34696190,0,0,-1,12165238,3469619,1177
-76.162183,36.827128,1508,PRINCESS ANNE & OVERLAND, ,08,121671005,34690906,0,0,-1,12167100.5,3469090.6,1178
-76.091564,36.775684,1510,PRINCESS ANNE & DAM NECK, ,08,121882413,34508861,0,0,-1,12188241.3,3450886.1,1179
-76.137369,36.888374,1511,INDEPENDENCE & CULLEN, ,08,121738030,34915630,0,0,-1,12173803,3491563,1180
-76.05618,36.753013,1512,PRINCESS ANNE & DEGRASSE,MUNCT,08,121988150,34429010,0,0,-1,12198815,3442901,1181
-76.018845,36.760373,1514,PRINCESS ANNE & GENERAL BOOTH, ,08,122096790,34458650,0,0,-1,12209679,3445865,1182
-76.166528,36.828048,1515,PRINCESS ANNE & PARLIAMENT, ,08,121658210,34693940,0,0,-1,12165821,3469394,1183
-76.173312,36.830494,1516,PRINCESS ANNE & CAPOT, ,08,121638140,34702350,0,0,-1,12163814,3470235,1184
-76.020886,36.759564,1523,PRINCESS ANNE & GENERAL BOOTH, ,08,122090890,34455550,0,0,-1,12209089,3445555,1185
-75.983515,36.843828,1525,VIRGINIA BEACH & CYPRESS, ,08,122192154,34765130,0,0,-1,12219215.4,3476513,1186
-76.0054,36.76003,1526,UPTON & NIMMO,NMUP,08,122136197,34458440,0,0,-1,12213619.7,3445844,1187
-76.055935,36.752975,1527,PRINCESS ANNE & DEGRASSE,MUNCT,08,121988870,34428890,0,0,-1,12198887,3442889,1188
-76.095223,36.778358,1529,PRINCESS ANNE & DAM NECK, ,08,121871450,34518320,0,0,-1,12187145,3451832,1189
-76.096678,36.784086,1530,UNIVERSITY & FACULTY, ,08,121866660,34539060,0,0,-1,12186666,3453906,1190
-76.130446,36.80076,1537,PRINCESS ANNE & BRANTINGHAM, ,08,121766278,34597248,0,0,-1,12176627.8,3459724.8,1191
-76.135002,36.808177,1538,PRINCESS ANNE & CAMBELTON, ,08,121752264,34623908,0,0,-1,12175226.4,3462390.8,1192
-76.138343,36.810881,1539,PRINCESS ANNE & TIMBERLAKE, ,08,121742240,34633506,0,0,-1,12174224,3463350.6,1193
-76.144372,36.815221,1540,PRINCESS ANNE & EDWIN, ,08,121724202,34648861,0,0,-1,12172420.2,3464886.1,1194
-76.158783,36.825611,1541,PRINCESS ANNE & FOREST, ,08,121681090,34685630,0,0,-1,12168109,3468563,1195
-76.307778,36.818747,1543,PORTSMOUTH & CHESTNUT, ,06,121245696,34650177,0,0,-1,12124569.6,3465017.7,1196
-76.325861,36.816921,1544,PORTSMOUTH & FREDERICK,PORFR,06,121192931,34642304,0,0,-1,12119293.1,3464230.4,1197
-76.311023,36.81921,1546,PORTSMOUTH & ELM 1, ,06,121236160,34651640,0,0,-1,12123616,3465164,1198
-76.312842,36.819414,1547,PORTSMOUTH & ELM 2, ,06,121230820,34652260,0,0,-1,12123082,3465226,1199
-76.317511,36.818752,1549,PORTSMOUTH & LANSING, ,06,121217212,34649533,0,0,-1,12121721.2,3464953.3,1200
-76.299423,36.833905,1550,COUNTY & COURT,CC,06,121268860,34705916,-1,-1,-1,12126886,3470591.6,1201
-76.300809,36.83136,1551,COURT & CRAWFORD,FERPNR,06,121265020,34696560,-1,0,-1,12126502,3469656,1202
-76.297207,36.822276,1552,PORT CENTRE & MADISON, ,06,121276330,34663740,0,0,-1,12127633,3466374,1203
-76.301803,36.820689,1553,MADISON & 7TH,HIRIS,06,121263015,34657649,-1,0,-1,12126301.5,3465764.9,1204
-76.313386,36.81349,1554,GEORGE WASHINGTON & WIRT, ,06,121229727,34630660,0,0,-1,12122972.7,3463066,1205
-76.315916,36.811378,1555,GEORGE WASHINGTON & FREDERICK, ,06,121222500,34622800,0,0,-1,12122250,3462280,1206
-76.319241,36.80749,1556,GEORGE WASHINGTON & GREENWOOD (near side), ,06,121213098,34608424,-1,0,-1,12121309.8,3460842.4,1207
-76.321445,36.804785,1557,GEORGE WASHINGTON & HANBURY, ,06,121206872,34598430,0,0,-1,12120687.2,3459843,1208
-76.32184,36.80277,1558,AFTON & GEORGE WASHINGTON, ,06,121205886,34591067,0,0,-1,12120588.6,3459106.7,1209
-76.318602,36.801743,1559,AFTON & DECATUR, ,06,121215450,34587550,0,0,-1,12121545,3458755,1210
-76.323205,36.801933,1560,GEORGE WASHINGTON & CHANNING, ,06,121201960,34587930,0,0,-1,12120196,3458793,1211
-76.325071,36.798954,1561,GEORGE WASHINGTON & GARRETT, ,06,121196750,34576960,0,0,-1,12119675,3457696,1212
-76.325805,36.797767,1562,GEORGE WASHINGTON & WOODLAND, ,06,121194700,34572590,0,0,-1,12119470,3457259,1213
-76.326633,36.796559,1563,GEORGE WASHINGTON & RODGERS, ,06,121192376,34568138,0,0,-1,12119237.6,3456813.8,1214
-76.328815,36.79535,1564,VICTORY & GEORGE WASHINGTON,GWVIC,06,121186090,34563590,0,0,-1,12118609,3456359,1215
-76.330502,36.79562,1565,VICTORY & PUEBLO, ,06,121181130,34564460,0,0,-1,12118113,3456446,1216
-76.364465,36.79981,1566,GREENWOOD & CLAY, ,06,121081365,34577442,0,0,-1,12108136.5,3457744.2,1217
