Virginia coal quality database (coal sample analyses) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analyses reported:  as-received ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data source:  raw data from USGS coal quality database / non-USGS collectors / Virginia scan and subset created 2006-01-18 (Hostettler),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
version:  release copy / data revised 2008-07-09 (Lovett) / format revised 2008-09-09 (Lovett),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
database inventory (all 375 samples accounted for - jal),,U.S. location and geologic setting,,,,"Regional location, coal bed name (in stratigraphic order), geologic formation, and VDMR Id. No. ",,,,,,"USGS Lab. No., location detail, and sample information",,,,,,,,,,,,,,,Proximate Analysis (%),,,,Ultimate Analysis (%),,,,,Heat,,Forms of Sulfur (%),,,,Ash-Fusion Temperature (F),,,,,Major- and Minor-Oxides (%),,,,,,,,,,,,Major- and Minor-Elements (ppm),,,,,,,,,Trace Elements (ppm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS supplemental data,,,
 Sample inventory [jal],Inventory notes (jal),CPROVINC,CREGION,SYSTEM,SER_EPOC,STATE,CFIELD,CBED,CFORMATN,ESTRANK,POINTID [modified to VDMR Id. No.2] ,LABID,USGS Lab No.,POINTID [modified to VDMR Field Id. No.2],LATITUDE1,NS,LONGITUDE1,EW,Quad Map Name,COUNTY,SAMPTHK,COMMENTS [USGS],SAMP_TYPE [VDMR (jal)]2,SAMPTYPE [USGS],SAMP_COND [VDMR (jal)]2,PART_OF_BED [VDMR (jal)]2,MOISTR,VOLMAT,FIXEDC,STDASH,HYDRGN,CARBON,NITRGN,OXYGEN,SULFUR,BTU/LB,ADLOSS,SLFATE,SLFPYR,SLFORG,FRESWL,ASHDEF,ASHSOF,ASHFLD,HGI [VDMR (jal)]2,COMPL_No [VDMR (jal)]2,GSASH,SIO2,AL2O3,CAO,MGO,MNO,NA2O,K2O,FE2O3,TIO2,P2O5,SO3,SI_E,AL_E,CA_E,MG_E,NA_E,K_E,FE_E,TI_E,S_E,AG_E,AS_E,AU_E,B_E,BA_E,BE_E,BI_E,BR_E,CD_E,CE_E,CL_E,CO_E,CR_E,CS_E,CU_E,DY_E,ER_E,EU_E,F_E,GA_E,GD_E,GE_E,HF_E,HG_E,HO_E,IN_E,IR_E,LA_E,LI_E,LU_E,MN_E,MO_E,NB_E,ND_E,NI_E,OS_E,P_E,PB_E,PD_E,PR_E,PT_E,RB_E,RE_E,RH_E,RU_E,SB_E,SC_E,SE_E,SM_E,SN_E,SR_E,TA_E,TB_E,TE_E,TH_E,TL_E,TM_E,U_E,V_E,W_E,Y_E,YB_E,ZN_E,ZR_E,,POINTID [USGS],COLLECTR,SUBDATE,IDMARPLOT       [end]
37 / 59,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,CLINTWOOD,WISE,BITUMINOUS,R-8715,W,229074,90D-25,37.112612,N,-82.623467,W,POUND (7.5'),WISE,10.80,"ST,BIG BRANCH COAL CO",Surface mine,11,slightly weathered,Upper Split ,2.37,36.01,52.61,9.01,5.31,73.86,2.09,6.16,3.57,"13,517",1.37,0.13,2.51,0.93,8.0,"2,020","2,060","2,340",54,5.33,9.6,31,18,1.1,0.5,0.01,0.12,1.5,40,1,0.57,1.4,14000,9300,730,290,86,1200,27000,590,530,0.054,180,0.46,13,59,1.6,0.67,5.4,0.072,14,360,5.9,11,0.86,18,1.5,0.5,0.27,14,0,2.2,1.5,0.47,0.24,0.46,0.67,1,6.5,9.2,0.12,12,0,1.9,7.5,14,1,240,2.9,0.067,6.7,0.15,15,0.67,0.15,0.15,0.88,3.4,2.7,1.4,0,96,0.14,0.18,0,1.6,0.67,0.31,0.97,11,0.55,6,0.88,20,14,,R8715-90D-25,VADMR-WILKES G P,85/02/01,AAAAAAAAAAAA5648
38 / 59,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,CLINTWOOD,WISE,BITUMINOUS,R-8716,W,229083,89B-11,37.155157,N,-82.468993,W,CLINTWOOD (7.5'),DICKENSON,49.20,"ST,MOUNTAIN ENTERPRISES CC",Surface mine,11,slightly weathered,Lower Split,4.48,32.55,56.06,6.91,5.38,76.2,1.54,8.49,1.48,"13,635",3.74,0.11,0.71,0.66,7.5,"2,410","2,520","2,700",59,2.20,7.3,45,27,0.87,0.61,0.01,0.43,1.6,16,1.7,0.06,1.3,15000,11000,450,270,230,970,8200,730,370,0.049,27,0.35,11,61,2.5,0.88,2.7,0.029,20,120,11,10,0.6,21,3.9,1.6,0.42,20,3,1.6,1.5,0.52,0.13,0.35,0.51,0.77,11,10,0.11,8,1.8,2.8,14,18,0.77,22,5.8,0.051,8,0.11,12,0.51,0.11,0.11,0.68,2.9,3.7,2.3,0.66,80,0.22,0.25,0,2.5,0.51,0.23,1.4,15,0.53,7.2,0.78,10,17,,R8716-89B-11,VADMR-WILKES G P,85/02/01,AAAAAAAAAAAA5656
39 / 59,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,CLINTWOOD,WISE,BITUMINOUS,R-8717,W,229084,89B-12,37.153343,N,-82.467852,W,CLINTWOOD (7.5'),DICKENSON,43.20,"ST,MOUNTAIN ENTERPRISES CC",Surface mine,11,slightly weathered,Upper Split ,9.41,28.6,56.3,5.69,5.11,68.95,1.44,18.13,0.68,"11,942",7.44,0.01,0.04,0.63,0.5,"2,370","2,480","2,690",63,1.17,5.9,39,28,3.9,1.2,0.34,0.43,1.6,13,1.9,0.21,4.8,11000,8700,1600,420,190,790,5400,680,1100,0.053,3,0.28,8.9,77,1.1,0.41,2.1,0.033,12,70,7.5,8.2,0.24,15,0.91,0.19,0.28,30,3.2,1.3,1,0.56,0.035,0.28,0.41,0.62,6.8,10,0.097,150,1,2.1,7.7,16,0.62,53,4.3,0.041,5.9,0.091,9.8,0.41,0.091,0.091,0.37,2.8,3,1.4,0.59,59,0.21,0.19,0,2,0.41,0.19,1,11,0.39,4.3,0.67,10,12,,R8717-89B-12,VADMR-WILKES G P,85/02/01,AAAAAAAAAAAA5655
40 / 59,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,CLINTWOOD,WISE,BITUMINOUS,R-8719,W,229082,90C-24,37.105968,N,-82.649117,W,FLAT GAP (7.5'),WISE,16.80,"ST,MAC MINING INC",Surface mine,1,fresh / unweathered,Lower Split,1.84,34.83,51.69,11.64,5.3,73.36,1.59,6.79,1.32,"13,216",1.1,0.02,0.52,0.78,7.0,"2,760","2,800","2,800",46,1.97,12.8,52,28,0.45,0.91,0,0.16,2.5,7.7,1.8,0.16,0.73,31000,19000,410,700,150,2700,6900,1400,370,0.11,4.7,0.61,18,91,2.3,0.9,6.7,0.13,27,340,11,16,0.78,44,2,1.5,0.56,70,7.8,2.9,1.2,0.87,0.01,0.61,0.9,1.3,14,29,0.18,9,1.2,4.1,19,35,1.3,90,13,0.09,9,0.2,16,0.9,0.2,0.2,0.64,4.6,3.8,3.2,1.4,72,0.28,0.34,0,4.3,0.9,0.41,3.7,27,0.7,9.5,1.4,42,23,,R8719-90C-24,VADMR-WILKES G P,85/02/01,AAAAAAAAAAAA5645
41 / 592,41 / 59 (no analyses found),EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,CLINTWOOD,WISE,BITUMINOUS,R-8720,W,229077,60A-30,36.974444,N,-82.531944,W,WISE (7.5'),WISE,20.40,"ST, MINE / COMPANY NAME ?",Surface mine,1,fresh / unweathered,Partial Seam,2.6,32.0,62.0,3.4,5.4,81.2,1.5,7.8,0.7,"14,490",1.7,0.01,0.07,0.60,8.0,"2,381","2,642","2,786", --- ,0.97,3.8,43,31,1.9,1.0, --- ,1.6,2.5,8.1,1.9,0.26L,2.8,7600,6300,520,240,460,780,2200,430, --- ,0.031,5.0, --- ,16,190,0.35,0.4L,1.3,0.008,5.9,100L,1.9,5.5,0.63,7.2,0.84L,0.17L,0.12,60,2.3,1.2L,0.17L,0.27,0.050L,0.26L, --- , --- ,3.4,3.2,0.04,4.9,0.84,1.6,5.3,5.3, --- ,44L,2.2,0.04L,4.9, --- ,8.1, --- , --- , --- ,0.086,1.3,2.9,0.64,0.61,150,0.12,0.066, --- ,0.90,0.38L, --- ,0.23,8.0,0.18,2.9,0.25,1.9,11,,,,,
42 / 59,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,CLINTWOOD,WISE,BITUMINOUS,R-8723,W,229081,90C-25,37.106859,N,-82.651756,W,FLAT GAP (7.5'),WISE,20.40,"ST,MAC MINING INC",Surface mine,1,fresh / unweathered,Upper Split ,2.02,34.17,54.17,9.64,5.23,75.18,1.56,7.17,1.22,"13,481",1.2,0.05,0.42,0.75,7.5,"2,600","2,640","2,790",50,1.78,8.9,49,30,0.64,1.1,0.01,0.35,3.4,9.9,1.3,0.16,0.9,20000,14000,410,610,230,2600,6100,680,320,0.063,9.9,0.42,13,57,2.4,0.62,3.5,0.05,25,380,8.5,17,1.3,22,1.4,1.5,0.52,50,6.3,2,2.8,0.65,0.035,0.42,0.62,0.93,16,19,0.17,12,0.98,1.9,15,20,0.93,62,7.8,0.062,8.9,0.14,23,0.62,0.14,0.14,0.56,4.4,2.4,3,0.89,65,0.21,0.31,0,3.7,0.62,0.29,2.1,21,0.61,8.5,1.2,15,16,,R8723-90C-25,VADMR-WILKES G P,85/02/01,AAAAAAAAAAAA5647
43 / 59,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,CLINTWOOD,WISE,BITUMINOUS,R-8725,W,229076,90D-27,37.020182,N,-82.563873,W,POUND (7.5'),WISE,24.00,SURFACE MINE,Surface mine,1,fresh / unweathered,Full Thickness,3.18,33.04,60.59,3.19,5.35,80.99,1.68,7.97,0.82,"14,453",2.45,0.01,0.16,0.65,8.5,"2,470","2,540","2,750",56,1.11,3,40,31,2.5,0.73,0.01,0.89,0.97,13,1.3,0.16,2.4,5600,5000,550,130,200,240,2700,240,280,0.042,5.9,0.14,6.9,33,1.1,0.36,4.8,0.007,8.4,360,6.6,4,0.13,11,0.46,0.51,0.24,14,1.7,0.67,0.51,0.25,0.035,0.14,0.21,0.32,4,3.9,0.077,3.9,0.99,0.69,5.7,9.9,0.32,21,2,0.021,3.6,0.046,7,0.21,0.046,0.046,0.2,1.4,2,1.1,0.33,36,0.07,0.16,0,1.3,0.21,0.097,1.1,6.6,0.28,4.2,0.56,2.6,6.6,,R8725-90D-27,VADMR-WILKES G P,85/02/01,AAAAAAAAAAAA5633
44 / 59,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,CLINTWOOD,WISE,BITUMINOUS,R-8729,W,229550,60A-33,36.998065,N,-82.559172,W,WISE (7.5'),WISE,37.20,"ST,LOWER CLINTWOOD COAL CO",Surface mine,11,slightly weathered,Lower Split,4.24,30.88,58.45,6.43,5.3,77.43,1.58,8.37,0.89,"13,802",3.66,0.05,0.12,0.72,8.5,"2,460","2,630","2,680",61,1.30,7.6,54,27,2.3,0.55,0.01,0.65,1.2,4.4,2.2,1.1,2.3,19000,11000,1200,250,360,770,2400,1000,710,0.045,4.3,0.36,19,120,1.4,0.53,3.1,0.015,20,180,6.6,13,0.28,18,1.2,0.24,0.36,60,3.9,1.7,0.91,0.75,0.035,0.36,0.53,0.8,11,12,0.11,6.9,1.1,4,16,15,0.8,380,6.1,0.053,8.4,0.12,18,0.53,0.12,0.12,0.33,3.1,2.1,2.1,1.1,270,0.27,0.27,0,3.1,0.53,0.24,1.3,15,0.3,8.4,0.81,4.2,27,,R8729-60A-33,VADMR-WILKES G P,85/02/06,AAAAAAAAAAAA5627
45 / 59,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,CLINTWOOD,WISE,BITUMINOUS,R-8730,W,229551,60A-34,36.998065,N,-82.559172,W,WISE (7.5'),WISE,9.60,"ST,LOWER CLINTWOOD COAL CO",Surface mine,11,slightly weathered,Middle Split,4.41,31.26,52.97,11.36,5.14,69.41,1.38,6.1,6.61,"12,795",3.93,0.22,5.22,1.17,9.0,"2,030","2,120","2,160",68,10.31,12.2,18,13,1.7,0.5,0.02,0.11,0.59,59,0.32,0.03,2.4,10000,8100,1500,370,98,600,50000,230,1200,0.11,39,1.3,17,59,2,0.85,4.5,0.049,9.3,230,6.2,11,0.25,17,8.1,0.39,0.39,14,0,2.7,2,0.28,0.035,0.58,0.85,1.3,3.8,13,0.16,27,0,2.6,7.7,18,1.3,17,6,0.085,8.5,0.19,13,0.85,0.19,0.19,0.69,3.1,2.7,1.9,0,88,0.11,0.32,0,1.3,0.85,0.39,2.7,16,0.41,10,1.4,16,7.8,,R8730-60A-34,VADMR-WILKES G P,85/02/06,AAAAAAAAAAAA5628
46 / 59,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,CLINTWOOD,WISE,BITUMINOUS,R-8731,W,229552,60A-35,36.998065,N,-82.559172,W,WISE (7.5'),WISE,20.40,"ST,LOWER CLINTWOOD COAL CO",Surface mine,11,slightly weathered,Upper Split ,5.23,30.88,53.03,10.86,5.15,70.55,1.39,7.64,4.41,"12,875",4.63,0.27,2.97,1.17,9.0,"2,000","2,090","2,200",63,6.83,11.7,33,17,1.3,0.5,0.02,0.27,1.7,38,0.9,0.06,1.9,18000,10000,1100,350,230,1700,31000,630,870,0.064,6.3,0.56,16,53,1.1,0.82,8.6,0.088,13,430,1.9,13,0.9,14,6.9,0.38,0.3,20,0,2.6,0.81,0.47,0.14,0.56,0.82,1.2,7.2,11,0.14,23,0,2.1,2.6,7.7,1.2,35,3.5,0.082,8.2,0.18,12,0.82,0.18,0.18,0.17,2.8,2.1,1.6,0,73,0.12,0.2,0,1.9,0.82,0.38,1.1,13,0.29,6,0.82,25,13,,R8731-60A-35,VADMR-WILKES G P,85/02/06,AAAAAAAAAAAA5626
47 / 592,41 / 59 (no analyses found),EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,CLINTWOOD,WISE,BITUMINOUS,R-8732,W,229549,90D-28,37.078889,N,-82.521667,W,POUND (7.5'),WISE,20.40,"ST, MINE / COMPANY NAME ?",Surface mine,1,fresh / unweathered,Partial Seam,6.0,31.8,61.0,1.3,5.7,81.2,1.5,9.5,0.8,"14,420",5.4,0.02,0.07,0.73,9.0,"2,300","2,417","2,642",70,1.11,1.3,34,30,3.2,0.78, --- ,1.1,0.75,18,1.2,0.77L,4.8,2000,2100,300,60,110,80,1700,90, --- ,0.030,5.5, --- ,4.4,16,0.88,0.1L,3.0,0.007,3.2,140,6.1,2.2,0.06,8.6,0.74,0.06L,0.11,20L,0.73,0.42L,0.36,0.11,0.050L,0.09L, --- , --- ,1.6,1.7,0.05,7.3,0.69,0.25,1.7,7.9, --- ,44L,0.88,0.01L,1.3L, --- ,15L, --- , --- , --- ,0.10,0.59,2.7,0.56,0.16,20,0.070L,0.083, --- ,0.29,0.13L, --- ,0.28L,2.2,0.23,2.0,0.29,2.2,1.8,,,,,
48 / 59,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,CLINTWOOD,WISE,BITUMINOUS,R-8737,W,231835,90D-33,37.094552,N,-82.588491,W,POUND (7.5'),WISE,28.80,"ST,ISON COAL CO",Surface mine,11,slightly weathered,Lower Split,3.38,32,62.05,2.57,5.44,80.91,1.54,8.88,0.66,"14,575",2.59,0.03,0.09,0.54,8.5,"2,650","2,730","2,800",66,0.96,2.6,37,37,2.9,0.55,0.01,0.51,0.9,13,1,1.5,3.1,4500,5100,540,86,99,200,2400,160,320,0.02,2.2,0.12,5.5,20,0.39,0.18,2.3,0.015,14,160,1.8,5.2,0.085,7.5,0.4,0.084,0.38,20,0.83,0.58,0.26,0.19,0.035,0.12,0.18,0.27,6.6,3.4,0.081,3.9,0.78,0.12,7.3,2.9,0.27,170,2,0.018,1.8,0.04,12,0.18,0.04,0.04,0.12,1.3,1.3,1.9,0.55,83,0.073,0.23,0,1.1,0.18,0.084,0.52,3.4,0.35,2.1,0.6,4.2,2.3,,R8737-90D-33,VADMR-WILKES G P,85/07/10,AAAAAAAAAAAA5642
49 / 59,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,CLINTWOOD,WISE,BITUMINOUS,R-8738,W,231836,90D-34,37.042761,N,-82.563338,W,POUND (7.5'),WISE,30.00,"ST,B & E MINING INC",Surface mine,11,slightly weathered,Upper Split ,3.81,30.39,58.06,7.74,5.13,75.87,1.6,7.41,2.25,"13,641",3.11,0.14,1.53,0.58,8.0,"2,520","2,540","2,620",74,3.37,7.7,37,23,1.8,0.4,0.01,0.32,0.75,29,2.1,0.76,2.4,13000,9200,970,180,180,480,16000,970,750,0.031,21,0.37,6.7,40,0.42,0.54,2.9,0.015,12,140,7.3,9.9,0.2,14,1.2,0.25,0.23,20,1.8,1.7,1,0.62,0.07,0.37,0.54,0.81,6.8,7.2,0.091,12,0.35,0.92,4.5,7.4,0.81,250,5.1,0.054,5.4,0.12,16,0.54,0.12,0.12,0.34,2.4,2.9,1.2,1.5,150,0.22,0.14,0,1.9,0.54,0.25,0.79,5.1,0.38,2.5,0.53,7.5,6.2,,R8764-90D-34,VADMR-WILKES G P,85/07/10,AAAAAAAAAAAA5637
50 / 59,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,CLINTWOOD,WISE,BITUMINOUS,R-8739,W,231838,90D-35,37.089267,N,-82.587686,W,POUND (7.5'),WISE,28.80,"ST,ISON COAL CO",Surface mine,1,fresh / unweathered,Lower Split,4.09,31.36,61.09,3.46,5.46,80.55,1.65,8.19,0.69,"14,409",3.37,0.03,0.08,0.58,8.5,"2,700","2,780","2,800",67,0.97,3.7,43,31,2.5,0.86,0.18,0.39,1.2,14,1.4,0.66,3.4,7500,6000,660,190,110,380,3700,310,500,0.023,1.4,0.18,5.2,21,0.63,0.26,2,0.009,12,130,2.6,5.6,0.11,8.9,0.57,0.12,0.31,14,0.96,0.83,0.27,0.29,0.035,0.18,0.26,0.39,6.5,3.7,0.088,52,0.59,0.37,6.7,3.3,0.39,110,2.7,0.026,2.6,0.057,13,0.26,0.057,0.057,0.17,1.4,1.5,1.6,0.89,63,0.088,0.21,0,1.1,0.26,0.12,0.43,3.7,0.23,2.4,0.7,4.1,3.2,,R8739-90D-35,VADMR-WILKES G P,85/07/10,AAAAAAAAAAAA5641
51 / 59,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,CLINTWOOD,WISE,BITUMINOUS,R-8805,W,236237,60B-25,36.986510,N,-82.646746,W,NORTON (7.5'),WISE,33.60,"ST,RB & F COAL CO",Surface mine,1,fresh / unweathered,Full Thickness,3.3,34.18,57.07,5.45,5.42,78.89,1.55,8,0.69,"14,088",2.41,0.01,0.04,0.64,7.0,"2,800","2,800","2,800",54,0.99,5.2,52,37,1,0.48,0,0.27,1.5,3.1,1.5,0.43,1.2,13000,10000,390,150,100,640,1100,480,250,0.026,1.2,0.25,6.2,29,2.2,0.36,2.7,0.01,15,350,9.4,8.5,0.39,20,0.8,0.17,0.34,14,2.6,1.2,3.2,0.46,0.003,0.25,0.36,0.55,8.2,9.9,0.1,3.7,1.3,2,7.8,9.9,0.55,99,5.7,0.036,3.6,0.08,21,0.36,0.08,0.08,0.78,2.9,3.2,1.8,0.37,45,0.16,0.22,0,2.1,0.36,0.17,1.1,9.9,0.41,5.2,0.77,4.9,11,,R8805-60B-25,VADMR-WILKES G P,86/06/16,AAAAAAAAAAAA5621
52 / 59,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,CLINTWOOD,WISE,BITUMINOUS,R-8811,W,238483,119D-2,37.287823,N,-82.255772,W,ELKHORN CITY (7.5'),BUCHANAN,40.80,"ST,LOONEY BROS COAL CO",Surface mine,1,fresh / unweathered,Full Thickness,2.02,35.56,55.5,6.92,5.41,77.73,1.53,5.72,2.69,"14,110",1.48,0.09,1.67,0.93,6.0,"1,920","2,020","2,370",64,3.83,6.8,35,24,2.7,0.33,0.04,0.51,0.6,29,1.7,1.1,4.2,11000,8700,1300,140,260,340,14000,700,1100,0.031,15,0.32,16,82,3.5,1,8.5,0.068,11,570,6,8.3,0.18,18,0.48,0.22,0.2,30,3.7,1,0.88,0.47,0.03,0.071,0.1,0.48,6.6,15,0.075,26,2.2,1.8,8.2,12,0.48,330,2.9,0.032,0.88,0.071,17,0.48,0.071,0.022,0.34,2,2.3,1.1,1.4,330,0.17,0.14,0,1.6,0.48,0.15,0.98,12,0.71,5.4,0.47,16,16,,R8811-119D-2,VADMR-WILKES G P,86/10/22,AAAAAAAAAAAA5665
53 / 59,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,CLINTWOOD,WISE,BITUMINOUS,R-8815,W,238479,89B-15,37.176272,N,-82.444704,W,CLINTWOOD (7.5'),DICKENSON,39.60,"ST,LITTLE SIX COAL CO",Surface mine,1,fresh / unweathered,Partial Lower Split,1.96,35.09,59.29,3.66,5.4,81.23,1.74,6.97,1,"14,558",1.15,0.02,0.32,0.66,7.0,"2,390","2,610","2,730",57,1.37,3.5,42,31,1.7,0.2,0,0.74,0.49,14,2.8,0.53,2.4,6900,5800,430,42,190,140,3400,580,340,0.031,5.4,0.17,16,39,0.91,0.54,2.9,0.018,11,250,4.3,6.7,0.14,15,0.25,0.33,0.21,14,2.5,0.42,1.3,0.52,0.04,0.037,0.054,0.25,6.5,3.9,0.084,1.6,1.5,1.2,4.9,12,0.25,81,2.5,0.017,0.49,0.037,16,0.25,0.037,0.011,0.38,1.8,3.4,1.1,0.74,74,0.18,0.14,0,1.5,0.25,0.078,0.81,8.8,0.27,2.8,0.57,3.9,10,,R8815-89B-15,VADMR-WILKES G P,86/10/22,AAAAAAAAAAAA5661
54 / 59,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,CLINTWOOD,WISE,BITUMINOUS,R-8822,W,238945,90D-44,37.076006,N,-82.539296,W,POUND (7.5'),WISE,30.00,"ST,H-G MINING CO",Surface mine,11,slightly weathered,Lower Split,2.96,32.5,60.8,3.74,5.45,81.21,1.62,7.04,0.94,"14,505",1.62,0.11,0.15,0.68,8.0,"2,690","2,745","2,800",60,0.82,3.6,45,33,1.3,0.73,0.02,1.1,1.3,12,1.6,0.27,2.6,7500,6300,350,160,310,390,3100,340,370,0.04,4.8,0.17,9.7,35,1.7,0.55,6,0.032,8.5,520,11,6.7,0.25,12,1,1,0.21,80,2.6,0.94,1.3,0.26,0.003,0.4,0.055,0.25,4.8,4,0.076,6.8,1.7,1.3,7.6,17,0.25,43,2.7,0.017,0.72,0.038,13,0.25,0.038,0.012,0.43,1.6,0.9,1.1,0.5,47,0.043,0.14,0,0.92,0.25,0.081,0.18,7.9,0.28,5.8,0.63,7.6,14,,R8822-90D-44,VADMR-WILKES G P,86/12/02,AAAAAAAAAAAA5640
55 / 59,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,CLINTWOOD,WISE,BITUMINOUS,R-8823,W,238944,90D-45,37.076006,N,-82.539296,W,POUND (7.5'),WISE,19.20,"ST,H-G MINING CO",Surface mine,11,slightly weathered,Upper Split ,2.88,33.18,60.76,3.18,5.55,80.99,1.76,7.9,0.62,"14,606",1.68,0.02,0.15,0.45,8.0,"2,800","2,800","2,800",60,1.24,3.2,45,39,1.8,0.55,0,1.3,1.1,4.9,2.2,0.46,3.5,6700,6600,410,110,320,300,1100,430,440,0.027,3.1,0.15,17,42,0.58,0.49,4.6,0.007,7.9,410,4.4,8.4,0.14,7.7,0.58,0.45,0.16,80,2.9,0.7,0.67,0.31,0.003,0.16,0.049,0.22,4.5,4.8,0.038,2,1.9,2,6.4,11,0.22,64,2.8,0.015,0.64,0.034,15,0.22,0.034,0.01,0.21,1.6,1.1,0.79,0.42,77,0.096,0.1,0,1,0.67,0.072,0.47,9.6,0.25,3.5,0.34,2.3,19,,R8823-90D-45,VADMR-WILKES G P,86/12/02,AAAAAAAAAAAA5639
56 / 59,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,CLINTWOOD,WISE,BITUMINOUS,R-8825,W,238946,119D-3,37.291924,N,-82.253359,W,ELKHORN CITY (7.5'),BUCHANAN,43.20,"ST,LOONEY BROS COAL CO",Surface mine,11,slightly weathered,Full Thickness,3.2,34.65,56.24,5.91,5.48,78.11,1.59,6.96,1.95,"14,131",2.15,0.05,1,0.9,6.5,"1,960","2,060","2,160",61,2.69,6.4,36,23,2.6,0.66,0.04,0.9,0.6,28,2,0.55,4.6,11000,7700,1200,260,430,320,13000,770,1200,0.048,37,0.3,19,140,3,0.99,9.5,0.031,11,530,3.4,8.9,0.24,12,0.45,0.21,0.2,130,4.2,0.45,1.5,0.6,0.003,0.067,0.099,0.45,6.8,13,0.079,20,2.6,2.9,8.3,5.8,0.45,150,4.1,0.03,0.96,0.067,15,0.45,0.067,0.021,0.47,2.2,2.8,1.1,1.9,250,0.25,0.14,0,1.8,0.45,0.14,0.83,9.6,0.91,5.9,0.66,7,26,,R8825-119D-3,VADMR-WILKES G P,86/12/02,AAAAAAAAAAAA5666
