OBJECTID,NAME,PAR_GPIN,OWNER,TYPE,PARKTYPE,ACRES,PLANAREA,SHAPEarea,SHAPElen
148,Southgate  Park,2404759811,City,NP,Neighborhood Parks,1.9785,Courthouse Sandbridge,12498.853072887,499.901190508375
149,Southgate Park Sec.1, ,City,NP,Neighborhood Parks,1.3864,Courthouse Sandbridge,8756.87382554663,482.893238320848
150,Malbon Acres Park,2415307156,City,NP,Neighborhood Parks,0.6705,Courthouse Sandbridge,4237.23154421769,299.142387717651
151,Ocean lakes North,2415506186,City,NP,Neighborhood Parks,2.0584,Courthouse Sandbridge,13007.5218748053,508.124855761412
152,Ocean Lakes East Park,2414486353,City,NP,Neighborhood Parks,2.0091,Courthouse Sandbridge,12693.8345550277,513.067412334477
153,Pine Meadows Park,2415836154,City,NP,Neighborhood Parks,4.9758,Courthouse Sandbridge,31449.3386492338,723.695370243783
154,Pine Meadows Sec.3 Park,2415938926,City,NP,Neighborhood Parks,2.8519,Courthouse Sandbridge,18026.5296797963,639.50986040519
155,Pine Meadows Place Park,2415947675,City,NP,Neighborhood Parks,2.2577,Courthouse Sandbridge,14271.3014915897,572.093087521763
156,Ocean Lakes Park,2425311625,City,CP,Community Parks,24.6639,Courthouse Sandbridge,155869.811583968,1591.91615200585
157,Red Mill Farms Park,2414412649,City,NP,Neighborhood Parks,14.3758,Courthouse Sandbridge,90787.6219519858,1185.6692455022
158,Box Elder Park,2415817847,City,NP,Neighborhood Parks,0.4634,Courthouse Sandbridge,2928.70602922019,278.350394986725
159,Middle Oaks Plantation Park,2404894473,City,NP,Neighborhood Parks,1.8487,Courthouse Sandbridge,11681.4418161538,436.957910270276
160,Lotus Gardens Park,2413959482,City,NP,Neighborhood Parks,2.0929,Courthouse Sandbridge,13211.5211024846,497.276587818244
161,US. Field Hockey Complex,1484869245,City,SUAC,Special Use ? Athletic Complex sites,130.0851,Courthouse Sandbridge,821820.065279606,3627.66725786592
162,Buyrn Farms Park,1494883552,City,NP,Neighborhood Parks,4.9701,Courthouse Sandbridge,31403.901036567,1048.32661190543
163,Holland Woods Park,1494974485,City,NP,Neighborhood Parks,0.715,Courthouse Sandbridge,4517.11574327572,374.593011289648
164,Princess Anne Rec-Center,2404879300,City,SURC,Special Use ? Recreation Center sites,15.7516,Courthouse Sandbridge,99517.2217464359,1811.61007749905
165,Princess Anne Crossing Park,1494754608,City,NP,Neighborhood Parks,1.0167,Courthouse Sandbridge,6422.76237709727,323.571434451661
166,Princess Anne Athletic Complex,1484762033,City,SUAC,Special Use ? Athletic Complex sites,67.438,Courthouse Sandbridge,426043.03459818,2845.2481928877
167,Princess Anne Athletic Complex,1484458720,City,SUAC,Special Use ? Athletic Complex sites,89.9444,Courthouse Sandbridge,568212.777522967,3769.85340100212
168,Sportsplex,1484879998,City,SUAC,Special Use ? Athletic Complex sites,136.8488,Courthouse Sandbridge,864682.639974619,4576.04382668794
169,Sportsplex,1484871819,City,SUAC,Special Use ? Athletic Complex sites,2.9099,Courthouse Sandbridge,18385.9566049167,649.099424295862
170,Three Oaks Park,2414120223,City,CP,Community Parks,39.2804,Courthouse Sandbridge,248077.237356377,2039.72157357508
171,Red Mill Farms Park Sec-2,2414471462,City,NP,Neighborhood Parks,0.3604,Courthouse Sandbridge,2276.86571022477,199.169442857538
172,Red Mill Farms Park Sec-2,2414470289,City,NP,Neighborhood Parks,0.6048,Courthouse Sandbridge,3821.22258167456,261.02076584614
173,Indian River Rd. Parcel A,1483280297,City,GOS,General Open Space sites,49.4065,Courthouse Sandbridge,311956.123780523,2662.49170275378
174,Indian River Rd. Parcel B,1469318348,City,GOS,General Open Space sites,31.3897,Courthouse Sandbridge,198223.764889772,1770.40711812288
175,Upton Estates Park Sec. 1,2415645251,City,NP,Neighborhood Parks,0.2451,Courthouse Sandbridge,1549.48657451674,271.707319145188
176,Sawyer Lakes Estates Park,2414669936,City,NP,Neighborhood Parks,1.0936,Courthouse Sandbridge,6909.12891428252,429.114994602481
177,Litchfield Manor Park,2404151930,City,NP,Neighborhood Parks,16.5355,Courthouse Sandbridge,104462.448942589,1752.21561255425
178,Princess Anne Woods Park,2404632928,City,GOS,General Open Space sites,0.4142,Courthouse Sandbridge,2616.24918059636,306.25376220756
179,Princess Anne Woods Park Sec-2,2404357187,City,GOS,General Open Space sites,52.2824,Courthouse Sandbridge,330266.864629891,4730.35716874485
180,Lagomar at Back Bay Park,2424134536,City,NP,Neighborhood Parks,2.6787,Courthouse Sandbridge,16918.7693127785,598.605465087993
181,Lagomar at Back Bay Park,2424136653,City,NP,Neighborhood Parks,0.8679,Courthouse Sandbridge,5481.62208265388,293.845082088242
182,Rolling Woods Park, ,City,NP,Neighborhood Parks,59.2638,Courthouse Sandbridge,374433.092923216,2907.9438205762
183,Lotus Garden Farm Park,2423077808,City,GOS,General Open Space sites,22.6856,Courthouse Sandbridge,143224.537109171,2987.12995041988
184,Dozier Bridge Canoe Launch, ,City,SUWA,Special Use ? Water Access sites,1.0766,Courthouse Sandbridge,6800.48639526353,363.364156451273
185,Soccer Complex,1484493328,City,SUAC,Special Use ? Athletic Complex sites,75.3743,Courthouse Sandbridge,476293.753128106,4122.09603197261
186,Princess Anne Park,1485706942,City,NP,Neighborhood Parks,13.9185,Courthouse Sandbridge,87962.1885985613,1339.8383913328
187,Lagomar North Park,2424060263,City,NP,Neighborhood Parks,3.4447,Courthouse Sandbridge,21761.1402644338,676.760813521059
188,Prosperity Park,2416708636,City,GOS,General Open Space sites,131.9226,Courthouse Sandbridge,834352.81889159,4748.54516978083
189,Princess Anne Athletic Complex,1484689679,City,SUAC,Special Use ? Athletic Complex sites,17.8537,Courthouse Sandbridge,112814.418796588,1423.13027392286
190,Princess Anne Athletic Complex,1484360232,City,SUAC,Special Use ? Athletic Complex sites,48.6464,Courthouse Sandbridge,307332.375152989,2491.06214170139
191,Princess Anne Athletic Complex,1484378542,City,SUAC,Special Use ? Athletic Complex sites,25.6211,Courthouse Sandbridge,161882.984833663,1977.11430574073
192,New Bridge Park, ,City,GOS,General Open Space sites,45.5445,Courthouse Sandbridge,287413.136897682,2755.40713581103
193,Princess Anne Quarter Park,2404153227,City,NP,Neighborhood Parks,6.459,Courthouse Sandbridge,40801.9121443258,1777.06104817756
194,Virginia Beach National Golf Course, ,City,SUGC,Special Use ? Golf Courses,415.6106,Courthouse Sandbridge,2625372.99099944,8270.58773340523
195,Virginia Beach National Golf Course, ,City,SUGC,Special Use ? Golf Courses,31.7371,Courthouse Sandbridge,200446.728056898,2132.53818935196
196,West Neck Creek Park,1493997457,City,NRA,Natural Resource Areas,527.444,Courthouse Sandbridge,3329784.13488359,16281.8948141819
197,Buffington/Whitehurst Parcel,1494904627,City,GOS,General Open Space sites,8.6921,Courthouse Sandbridge,54891.6164604656,1444.82386148311
198,Laurel Cove Park,2408171123,City,NP,Neighborhood Parks,2.0933,Great Neck,13263.2180915657,545.218722689864
199,Great Neck Farms Park,2408255902,City,NP,Neighborhood Parks,2.2262,Great Neck,14104.3641949812,517.730808239895
200,Colonial Oaks Park,2408153146,City,NP,Neighborhood Parks,5.8479,Great Neck,37048.1704883469,955.689828087557
201,Lynnhaven Park,2408442880,City,CP,Community Parks,15.1653,Great Neck,96071.5467910833,2170.13935008469
